ID,set,Sentiment,Tweet
5244,train,net,Aku sedang sibuk memantau sukarelawan belia bertugas di Pusat Vaksin Kuala Terengganu. Sekarang tengah vaksin Fasaâ€¦ https://t.co/J9aagUcnlf
3579,train,net,@sahaL_AS Sy dgr tausyiah Kiai Taufik Damas Bhwa Suntik Vaksin tidak membatalkan puasa ðŸ˜Š..Alhamdulilah saya blmâ€¦ https://t.co/ML8N4BtJyz
4530,train,net,*Info: Konser VAX LIVE oleh Global Citizen merupakan konser amal untuk membuat orang di seluruh dunia menyadari menâ€¦ https://t.co/VUP4XukB1m
5814,train,net,Beredar sebuah narasi dengan klaim vaksin corona bisa menyebabkan disfungsi ereksi atau impotensi. #kumparanNews https://t.co/yt6CVE7372
5122,train,net,Ahli Sebut Vaksin Nusantara Dilanjutkan dengan Publikasi Penelitian https://t.co/UYanrC6kTk via @harianbatampos #VaksinNusantara #vaccine
5350,train,neg,Ambil vaksin haram? Apa yang haram masuk neraka eh ingat tu â˜_x009d_ðŸ_x008f_¼
4617,train,net,#ICYMI #BuletinBernama: Lebih 80 peratus penduduk Sibu daftar vaksin COVID-19https://t.co/i56daZLD9h
3263,train,net,@PRFMnews @hartop_bewok Selamat pagi. Pelaksanaam vaksin di tempat tersebut adalah kerja sama BUMN dan Dinkes Proviâ€¦ https://t.co/bT0vzo7S5X
2556,train,net,@madunyapooh @andy_mahardika @kostumkomik Bahan baku vaksin SinovSinovac baru aja datang lagi gan
5303,train,pos,"Alhamdulillah lansia diedukasi pada paham &amp; ngerti, mereka paham kalo kena yah insyallah jd bapil biasa bagi org ygâ€¦ https://t.co/bDUWff5k3L"
3892,train,pos,"@sudjiwotedjo Setuju Pak. Sehat bukan soal vaksin. Sehat itu tentang KESELARASAN RAGA, JIWA, AKAL, DAN PASTINYA BUDâ€¦ https://t.co/uo7N4550XZ"
4746,train,net,14.30Polri Sat Lantas Polres Metro Bekasi melaksanakan Pengamanan Rute Lintasan pendistribusian Vaksin Covid - 19â€¦ https://t.co/FOOpY5dJaa
7593,train,net,Ini vaksin pekerja seni pada dapet darimana sih? Syaratnya apa?
6499,train,net,Di Surabaya yang ada Vaksin Nusantara dimana ya?
6064,train,net,bripka m chandra bhabinkamtibmaspolsek bacip melaksanakan giat monitoring giat vaksin di puskesmas kelurahan sukahâ€¦ https://t.co/qwcne3EWyV
36,train,net,[cm] kalo kuliah offline bakal wajib vaksin ga ya? yg masi 17 tahun begindang gua baru 18 pas smt 4 plssðŸ¥²ðŸ¥²
2069,train,neg,"@jokowi Maaf pak di vaksin tdk di vaksin tetap ga bisa Mudik..dengn di larang nya Mudik tgl 6-17 mei, apakah coronaâ€¦ https://t.co/3pAjrJfwd4"
3302,train,neg,@PutraWadapi Masihkah keukeuh habis divaksin covid itu sakti mandraguna...???trus apa guna vaksin..??
346,train,neg,@akb48fansid1 @_andirisu @TirtoID vaksin sinovac sm astrazeneca malah hampir 100 persen bahan baku import lah kog anda ga kesel ?
2167,train,neg,"@karniilyasclub @karniilyas Bingung, artinya tidak bisa dipercaya vaksin yang beredar sekarang."
5401,train,neg,"Anjirr giliran vaksin bawa2 nasionalisme, pas ngobrolin impor beras, garem dll, malah jd bancakan..#negerizimbabwe"
7052,train,net,Giat Pengawalan Vaksin Covid-19 Dari Dinkes Provinsi Sumatera Selatan ke Dinkes Kota Pagaralam Oleh Personil Polresâ€¦ https://t.co/RrzfKkufuL
637,train,neg,"@BBCIndonesia Saya cuma sedih bila lansia tersebut di vaksin,karena mereka bisa mengalami nyeri otot, tidak bisa tiâ€¦ https://t.co/mw7kTM4Zgz"
1069,train,neg,@detikcom Kok bisa yaaa?? Untung belum vaksin.. Btw syafakillahu ibuu
137,train,neg,@501Awani Bodoh. SOP bodoh. Menteri bodoh. Vaksin bodoh. Kemain lagi ikut telunjuk WHO tapi tak hilang2 penyakit boâ€¦ https://t.co/YCW8KAVIlE
7522,train,pos,"Ingat pesan wapres @Kiyai_MarufAmin bahwa kita selalu harus patuh prokes, jangan pernah lelah. Bagi yg sudah dapatâ€¦ https://t.co/OxYhDGBH7Y"
5989,train,pos,"Bismillah - Alhamdulillah Sehat, Vaksin Ke-2....#sinovac #biofarma #vaksÃ¬ncovid19 @ Gedung Pemprov Jatim https://t.co/k7723sO3nx"
5635,train,net,Bahkan dukungan dari DPR terlihat sangat memaksa karena sebenarnya perizinan peredaran vaksin belum mendapatkan kuaâ€¦ https://t.co/wWsbT6qG5h
5042,train,neg,"Ada gunanya juga gak swab, jadwal vaksin tiba2 turun.Ada gunanya juga blom vaksin,Ntar aja telernya..ðŸ˜…ðŸ˜…"
528,train,net,@arusbaik_id ketersediaan vaksin menjadi sangat vital dalam menjaga program vaksinasi agar tetap bisa berjalan
1350,train,net,@ernestprakasa Guru juga harus menjadi garda terdepan dalam penanggulangan covid...maaf .. banyak juga guru yg enggâ€¦ https://t.co/xD19TDTNZd
7327,train,neg,"hm guru2 ternyata jadi rada lemes ya karna vaksin, guruku luemes pol"
2618,train,net,"@marulitas @aan__ ayahku boleh padahal usia 60+ dan ada diabetes. Syaratnya sih katanya asal gulanya terkontrol, alâ€¦ https://t.co/nz93RVCeoL"
4910,train,net,6 Juta Vaksin Sinovac Kembali Tiba di Indonesia https://t.co/fEoHokc1r7
7729,train,net,Janji RSPAD Kembangkan Vaksin Nusantara Sesuai Aturanhttps://t.co/7StVlr8up4
5060,train,neg,"Ada vaksin gotong royong, merah putih, nusantara... Pada kreatif bener bikin proyek kopit. Lagi lagi rakyat cuma mlâ€¦ https://t.co/uhanesNGQQ"
5594,train,neg,"Baca dulu aja, antara Tontonan Kebodohan, Kebohongan dan Rasa Nasionalis  https://t.co/vemBuZexA9"
5642,train,net,"Bahwa program vaksin Nusantara bukanlah program dari TNI, kata Kapuspen TNI, Mayjen TNI Achmad Riad. https://t.co/kJefWSSzmW"
6370,train,neg,"Dana stimulus vaksin di iri, tapi minta divaksin paling depan.Sini drunðŸ‘‰ https://t.co/muPNNwrLa3 pekokmu akan terâ€¦ https://t.co/ZfNlC2CvO5"
5601,train,net,Badan Pengawasan Obat dan Makanan (BPOM) mengungkap sejumlah kejadian tidak diinginkan (KTD) dalam uji fase I mencaâ€¦ https://t.co/ZtHOvNCo6O
7029,train,net,"Gambaran umumnya, hasil penelitian di Chili atas pemberian vaksin Sinovac mampu menurunkan CFR dari 2% jadi 0,067%."
6892,train,net,Enam Juta Dosis Vaksin Curah Sinovac Tiba di Indonesiahttps://t.co/jtQEuvxAOS#FUFU4D #SitusSlotOnlineâ€¦ https://t.co/JH62mRexF6
280,train,pos,"@agungN207 Katakan sama jendral dokter terawan, jika uji klinis vaksin nusantara butuh relawan, sya dan keluarga siâ€¦ https://t.co/5xGFhgJmNl"
377,train,neg,@alisyarief Saudi tolak kn krn sinovac blm bersertifikasi who..lah mangnya vaksin ini sdh? Kan blm jga..bahkan msihâ€¦ https://t.co/qxEekXJCll
6880,train,net,Enam Juta Dosis Bahan Baku Vaksin Covid-19 Tiba di IndonesiaEnam juta dosis bahan baku vaksin CoronaVac dari Sinoâ€¦ https://t.co/X0uQUiwljv
2444,train,neg,"@kumparan @ridwankamil Membingungkan,sudah di vaksin tapi tetap positif"
4809,train,net,"3. Dukungan tersebut berupa peningkatan akses terhadap vaksin, pendampingan dalam mengelola beban pembiayaan, dan pâ€¦ https://t.co/DFbLn0n2i4"
2015,train,net,@jokowi @jokowi hormat pakSekedar minta infonyaSy SDH di vaksin 2 kali apakah kalau sy keluar kota harus rapid lagi?
1193,train,pos,@domanggalkai Semoga Juni kita udah dapat jatah vaksin ðŸ˜‚
4409,train,net,@xxalc16 @ZOO_FESS Sebenernya bisa kok kak steril dulu tanpa vaksin. Cuma recovery kucing nya melambat. Kebetulan dâ€¦ https://t.co/uKX3Fvuzta
7761,train,net,"Jika Anda ingin membuat kami mundur satu dekade, maka Anda melakukan apa yang CIA lakukan, katanya.""Karena ituâ€¦ https://t.co/DVxD743pfx"
4562,train,net,"#BeritaTerkiniTahap ke-8, 6 Juta Dosis Bahan Baku Vaksin COVID-19 Tiba di Tanah AirSelengkapnya: https://t.co/os7TeXXNJV"
2583,train,net,"@Malik_Kurn @drpriono1 @AIVITABio Lah.. vaksin sinovac penelitiannya di indonesia, itu penelitinya dr.terawan &amp; drâ€¦ https://t.co/ZnJLWJS4Z5"
1552,train,net,"@FPKSDPRRI @MardaniAliSera Tingkat keamanan vaksin, apapun jenis vaksinnya hrs sesuai uji klinis @ laboratorium staâ€¦ https://t.co/zHb1uaPNpU"
6168,train,net,Cek Fakta: Tidak Terbukti WHO dan Pemerintah Arab Saudi Tak Akui Vaksin Sinovac https://t.co/shc8dNGHdp
6518,train,neg,"Diam ah babi ko dari dulu buat survey, vaksin sampai ke sudah rakyat marhaen tak dapat. https://t.co/fCw4vpHN0a"
1891,train,pos,@insgii Waaaahhh udah vaksin. Sehat2 ya Ikeee
5312,train,pos,Alhamdulillah sudah d vaksin 1. Terima kasih pakpresiden n bumn atas vaksinx. Semoga pandemi ini cpt berlalu.amiin. https://t.co/MLNw6wR1Qb
3300,train,neg,@PutraWadapi Maka dari itu kami menolak untuk di vaksin.
4370,train,pos,"@WiedWidya Aq nunggu giliran kak, semoga yang vaksin di bulan puasa lancar yah"
2081,train,pos,"@jokowi Pak kita kapan ya masy umum... Kita juga mau mintak di vaksin, bayar juha engak apa2 supaya kita engak nungâ€¦ https://t.co/NGX4vOeljd"
3384,train,neg,"@Ratmangondhez1 @msaid_didu Otak lo di dengkul ya, soal pancasila kok vaksin"
270,train,neg,@afrkml Yaudah sih @detikcom kontra dipakein vaksin keknya ners ðŸ™‚
1044,train,neg,@detikcom Guru2 udah pd vaksin kan? Kok katanya bs mengurangi kritis klo terpapar? @nursihrodiah ðŸ˜­
7542,train,net,"Ini Deretan Tokoh Pendukung Vaksin Nusantara, Ada Aburizal Bakrie hingga Anang-Ashanty https://t.co/b3dIc2ROYn via @tribunnews"
4070,train,net,@timmymalachi Malah negesin kalo mereka emang ambil vaksin jalur mandiri ya
4657,train,net,#oganilir #indralaya Polres Ogan Ilir Dan Nakes Jemput Bola Untuk Vaksin Covid-19 :https://t.co/9l2fxgS99q https://t.co/mp9Sn5flLJ
